CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0137,0.9999933907836237
C0001,C0152,0.9999867725974282
C0001,C0056,0.9995776143725464
C0002,C0029,0.9997100357103776
C0002,C0199,0.9993927667959703
C0002,C0031,0.9991017217239723
C0003,C0178,0.999994409456318
C0003,C0035,0.9995888287953193
C0003,C0133,0.9995261965711278
C0004,C0021,0.9999821255278634
C0004,C0124,0.9994084334107537
C0004,C0090,0.9992447136276048
C0005,C0073,0.999980363840333
C0005,C0159,0.999959039379097
C0005,C0112,0.9998275314805262
C0006,C0079,0.9999969844885456
C0006,C0117,0.9997720405103934
C0006,C0158,0.9982882688285154
C0007,C0085,0.9999957515574044
C0007,C0120,0.9998360607097171
C0007,C0042,0.9995504620875086
C0008,C0161,0.999392764681537
C0008,C0098,0.999371098608525
C0008,C0147,0.9974129913650266
C0009,C0077,0.999153050466006
C0009,C0025,0.9986237646407236
C0009,C0010,0.9974385115592878
C0010,C0029,0.9997546080890272
C0010,C0025,0.9990600735492078
C0010,C0002,0.998931288873929
C0011,C0107,0.9998748461942096
C0011,C0183,0.9998501949285025
C0011,C0048,0.9998484289613201
C0012,C0102,0.9983419791598733
C0012,C0188,0.998301638713053
C0012,C0051,0.9976732683526484
C0013,C0045,0.999998231150467
C0013,C0041,0.9999145231687977
C0013,C0051,0.999625309492074
C0014,C0080,1.0000000000000002
C0014,C0033,1.0
C0014,C0078,1.0
C0015,C0095,0.9993293054527418
C0015,C0144,0.9991249658318038
C0015,C0063,0.9982439368187092
C0016,C0048,0.9999945382621099
C0016,C0183,0.9999941968655905
C0016,C0011,0.9997854258481138
C0017,C0162,0.999988562432541
C0017,C0075,0.9995528462995215
C0017,C0194,0.999502895163122
C0018,C0200,0.9999969174824641
C0018,C0170,0.9998782460412852
C0018,C0187,0.9998290443664998
C0019,C0172,0.999995504577018
C0019,C0047,0.999639209183054
C0019,C0139,0.9984475769753952
C0020,C0080,1.0000000000000002
C0020,C0033,1.0
C0020,C0078,1.0
